NAME,                           BRANCH,               ALIAS,          FACADE,                                             SERVICE_PROVIDER
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
mockery/mockery,                0.7.2,                ,               ,                                                   ,
phpunit/phpunit,                3.7.*,                ,               ,                                                   ,
iron-io/iron_mq,                1.4.4,                ,               ,                                                   ,
aws/aws-sdk-php,                2.2.*,                ,               ,                                                   ,
pda/pheanstalk,                 2.0.*,                ,               ,                                                   ,
raveren/kint,                   dev-master,           ,               ,                                                   ,
jasonlewis/basset,              dev-master,           Basset,         Basset\Facades\Basset,                              Basset\BassetServiceProvider,
jasonlewis/expressive-date,     1.*,                  ,               ,                                                   ExpressiveDateServiceProvider,
way/guard-laravel,              dev-master            ,               ,                                                   Way\Console\GuardLaravelServiceProvider
way/generators,                 dev-master,           ,               ,                                                   ,
machuga/authority,              dev-develop,          ,               ,                                                   ,
cartalyst/sentry,               2.0.*,                Sentry,         Cartalyst\Sentry\Facades\Laravel\Sentry,            Cartalyst\Sentry\SentryServiceProvider,
bigelephant/string,             dev-master,           String,         BigElephant\String\StringFacade,                    BigElephant\String\StringServiceProvider,
anahkiasen/underscore-php,      dev-master,           ,               ,                                                   ,
laravelbook/laravel4-powerpack, dev-master,           HTML,           LaravelBook\Laravel4Powerpack\Facades\HTMLFacade,   LaravelBook\Laravel4Powerpack\Providers\PowerpackServiceProvider,
laravelbook/laravel4-powerpack, dev-master,           Form,           LaravelBook\Laravel4Powerpack\Facades\FormFacade,   
laravelbook/laravel4-powerpack, dev-master,           Str,            LaravelBook\Laravel4Powerpack\Facades\StrFacade,    
laravelbook/ardent,             1.0.3,                ,               ,                                                   ,
Zizaco/confide,                 dev-master,           Confide,        Zizaco\Confide\ConfideFacade,                       Zizaco\Confide\ConfideServiceProvider,
Zizaco/lessy,                   dev-master,           ,               ,                                                   Zizaco\Lessy\LessyServiceProvider,
